Global Moran's I value is: 681781.4828. It is positive, significantly at 0.01 level.
O, D, V, MoranI, p-value, pattern
18, 29, 509.862953, 730.3320317146408, 0.006, LL
32, 9, 510.2795344, 1116.2151384427916, 0.0, LL
10, 9, 502.0566553, 2024.7681482061569, 0.0, LL
3, 18, 497.8527057, 3188.0139723262305, 0.0, LL
14, 18, 497.8675657, 3174.456399171476, 0.0, LL
32, 1, 502.6883595, 2110.949967125909, 0.0, LL
7, 10, 502.1935323, 1658.4058908332556, 0.0, LL
17, 13, 503.0305898, 2017.6451230584921, 0.0, LL
34, 14, 493.5922137, 1354.5130972142765, 0.0, LL
32, 24, 494.7330371, 1956.5809209026286, 0.0, LL
32, 37, 500.461671, 1887.6610369747393, 0.0, LL
14, 37, 504.3007008, 3123.2474661177184, 0.0, LL
4, 10, 492.8067166, 3208.5541135744766, 0.0, LL
7, 2, 497.642196, 688.8611727561635, 0.01, LL
30, 20, 497.804498, 3189.4591178448973, 0.0, LL
20, 21, 504.545179, 1794.8004849276613, 0.0, LL
28, 10, 497.2655476, 2068.0702310510164, 0.0, LL
20, 20, 494.9313573, 2352.378496535931, 0.0, LL
32, 21, 499.4766589, 1411.7238376675257, 0.0, LL
7, 20, 499.3831047, 1335.47934933485, 0.0, LL
7, 21, 498.4986973, 829.8785185589455, 0.008, LL
7, 9, 504.7609707, 996.4970509128766, 0.001, LL
29, 37, 503.251131, 2376.3403868735804, 0.0, LL
13, 20, 492.7667862, 3223.995873341758, 0.0, LL
4, 2, 503.8920059, 2073.547302660213, 0.0, LL
29, 14, 498.490613, 2430.5911289825526, 0.0, LL
8, 9, 500.4713394, 1945.5839216063266, 0.0, LL
17, 37, 496.3842368, 3187.112103860345, 0.0, LL
29, 1, 498.6429888, 2406.713445442938, 0.0, LL
28, 13, 491.561087, 1250.244690604738, 0.0, LL
13, 24, 497.7202071, 3193.0409572428644, 0.0, LL
13, 29, 501.8571814, 1463.381424731052, 0.0, LL
29, 18, 498.4926555, 2637.982023756264, 0.0, LL
4, 37, 502.2033814, 3142.6410736770094, 0.0, LL
8, 21, 501.8591825, 2301.915302805804, 0.0, LL
3, 9, 493.1235935, 2064.544514228633, 0.0, LL
3, 30, 502.2024834, 3137.004928890633, 0.0, LL
10, 10, 500.9922515, 3144.459278799219, 0.0, LL
17, 1, 499.8526132, 3159.6260264135713, 0.0, LL
13, 14, 496.2005079, 3187.954153595199, 0.0, LL
1, 8, 499.4071503, 2239.401671275355, 0.0, LL
28, 21, 495.5140277, 1450.4556155977452, 0.0, LL
20, 14, 496.9702656, 2436.8136176636085, 0.0, LL
13, 15, 500.9570422, 3152.3821167220644, 0.0, LL
20, 29, 503.0793019, 1049.6202964826593, 0.0, LL
28, 15, 501.9450432, 2071.494296544965, 0.0, LL
3, 15, 501.1309213, 3160.46411878437, 0.0, LL
32, 30, 504.2956249, 2115.138114613127, 0.0, LL
1, 18, 498.4995697, 3183.90982348977, 0.0, LL
32, 10, 493.6895257, 2166.311939091084, 0.0, LL
32, 18, 503.1908551, 1962.0077375283736, 0.0, LL
29, 8, 497.4363044, 1736.1101063059411, 0.0, LL
17, 24, 491.7906429, 3227.6934830322803, 0.0, LL
14, 14, 504.1939116, 3126.3359189002886, 0.0, LL
4, 17, 500.1531871, 1351.784381079845, 0.0, LL
28, 17, 494.923258, 705.435029018404, 0.008, LL
8, 18, 498.1984773, 3187.846867754075, 0.0, LL
10, 17, 498.3963235, 1361.7679474471895, 0.0, LL
1, 37, 498.3083324, 3174.8093570811793, 0.0, LL
10, 20, 499.2534264, 3170.653642734369, 0.0, LL
7, 17, 505.9968753, 450.64521768357383, 0.042, LL
34, 29, 496.1309104, 517.2330546696624, 0.028, LL
8, 20, 500.5842958, 3172.694822539961, 0.0, LL
28, 29, 491.1785335, 720.6606393428177, 0.004, LL
10, 14, 506.8010859, 3107.392594920985, 0.0, LL
1, 9, 501.3194192, 1901.4783238491725, 0.0, LL
18, 20, 494.363416, 2015.9775376933987, 0.0, LL
18, 9, 498.6753871, 1122.1496185548324, 0.0, LL
7, 29, 505.2939934, 452.89062290932435, 0.042, LL
13, 13, 495.1683751, 2096.7953691834487, 0.0, LL
8, 24, 493.1673826, 3235.530149061475, 0.0, LL
14, 10, 501.6873117, 3133.7859414977784, 0.0, LL
30, 29, 489.3857077, 1207.4627751011544, 0.0, LL
20, 15, 495.7526741, 2604.1727852246636, 0.0, LL
